TI83333S000001	b0001	thrL	thr operon leader peptide
TI83333S000826	b0855	potG	ATP-binding component of putrescine transport system
TI83333S000827	b0856	potH	"putrescine transport protein (ABC superfamily, membrane)"
TI83333S000828	b0857	potI	"putrescine transport protein (ABC superfamily, membrane)"
TI83333S000829	b0858	ybjO	hypothetical protein
TI83333S000830	b0859	rumB	23S rRNA (uracil-5-)-methyltransferase
TI83333S000831	b0860	artJ	arginine 3rd transport system periplasmic binding protein
TI83333S000832	b0861	artM	arginine 3rd transport system permease protein
TI83333S000833	b0862	artQ	arginine 3rd transport system permease protein
TI83333S000834	b0863	artI	arginine 3rd transport system periplasmic binding protein
TI83333S000835	b0864	artP	ATP-binding component of 3rd arginine transport system
TI83333S000836	b0865	ybjP	putative lipoprotein
TI83333S000837	b0866	ybjQ	hypothetical protein
TI83333S000838	b0867	ybjR	probable N-acetylmuramoyl-L-alanine amidase
TI83333S000839	b0868	ybjS	"putative dehydrogenase, NAD(P)-binding"
TI83333S000840	b0869	ybjT	"conserved protein, ATP-binding"
TI83333S000841	b0870	ltaE	"L-allo-threonine aldolase, PLP-dependent"
TI83333S000842	b0871	poxB	pyruvate dehydrogenase
TI83333S000843	b0872	hcr	NADH oxidoreductase for HCP
TI83333S000844	b0873	hcp	hydroxylamine reductase
TI83333S000845	b0874	ybjE	putative surface protein
TI83333S000846	b0875	aqpZ	aquaporin Z
TI83333S000847	b0876	ybjD	"conserved protein, nucleotide triphosphate hydrolase domain"
TI83333S000848	b0877	somA	putative enzyme
TI83333S000849	b0878	macA	accessory protein to ABC-type macrolide transport protein MacB
TI83333S000850	b0879	macB	"macrolide transport protein (ABC superfamily, atp_bind (N-terminal), membrane (C-terminal))"
TI83333S000851	b0880	cspD	"DNA replication inhibitor, nucleic acid-binding domain"
TI83333S000852	b0881	clpS	ATP-dependent Clp protease adaptor protein ClpS
TI83333S000853	b0882	clpA	ATP-binding component of serine protease
TI83333S000854	b0884	infA	translation initiation factor IF-1
TI83333S000855	b0885	aat	leucyl/phenylalanyl-tRNA--protein transferase
TI83333S000856	b0886	cydC	ATP-binding component of cytochrome-related transport
TI83333S000857	b0887	cydD	"ATP-binding component of cytochrome-related transport, Zn sensitive"
TI83333S000858	b0888	trxB	thioredoxin reductase
TI83333S000859	b0889	lrp	regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system
TI83333S000860	b0890	ftsK	cell division protein
TI83333S000861	b0891	lolA	outer-membrane lipoprotein carrier protein precursor
TI83333S000862	b0892	rarA	putative polynucleotide enzyme
TI83333S000863	b0893	serS	seryl-tRNA synthetase
TI83333S000864	b0894	dmsA	"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit A"
TI83333S000865	b0895	dmsB	"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit B"
TI83333S000866	b0896	dmsC	"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit C"
TI83333S000867	b0897	ycaC	putative cysteine hydrolase
TI83333S000868	b0898	ycaD	putative MFS family transporter protein
TI83333S000869	b0899	ycaM	putative amino-acid transport protein (APC family)
TI83333S000870	b0900	ycaN	putative transcriptional regulator (LysR family)
TI83333S000871	b0901	ycaK	putative electron transfer flavoprotein-NAD/FAD/quinone oxidoreductase
TI83333S000872	b0902	pflA	pyruvate formate lyase activating enzyme 1
TI83333S000873	b0903	pflB	formate acetyltransferase 1
TI83333S000874	b0904	focA	formate transport protein (formate channel 1) (FNT family)
TI83333S000875	b0905	ycaO	hypothetical protein
TI83333S000876	b0906	ycaP	hypothetical protein
TI83333S000877	b0907	serC	phosphoserine aminotransferase
TI83333S000878	b0908	aroA	3-phosphoshikimate 1-carboxyvinyltransferase
TI83333S000879	b0909	ycaL	putative heat shock protein
TI83333S000880	b0910	cmk	cytidylate kinase
TI83333S000881	b0911	rpsA	30S ribosomal protein S1
TI83333S000882	b0912	ihfB	integration host factor beta subunit
TI83333S000883	b0913	ycaI	"putative recombination protein, metallo-hydrolase domain"
TI83333S000884	b0914	msbA	ATP-binding transport protein; multicopy suppressor of htrB
TI83333S000885	b0915	lpxK	tetraacyldisaccharide 4'-kinase
TI83333S000886	b0916	ycaQ	hypothetical protein
TI83333S000887	b0917	ycaR	unknown CDS
TI83333S000888	b0918	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase
TI83333S000889	b0919	ycbJ	hypothetical protein
TI83333S000890	b0920	ycbC	putative enzyme
TI83333S000891	b0921	smtA	S-adenosylmethionine-dependentmethyltransferase
TI83333S000892	b0922	mukF	condesin subunit F
TI83333S000893	b0923	mukE	condesin subunit E
TI83333S000894	b0924	mukB	condesin subunit B
TI83333S000895	b0925	ycbB	putative amidase
TI83333S000896	b0926	ycbK	hypothetical protein
TI83333S000897	b0927	ycbL	putative enzyme
TI83333S000898	b0928	aspC	aspartate aminotransferase
TI83333S000899	b0929	ompF	outer membrane pore protein 1a (Ia;b;F)
TI83333S000900	b0930	asnS	asparaginyl-tRNA synthetase
TI83333S000901	b0931	pncB	nicotinate phosphoribosyltransferase
TI83333S000902	b0932	pepN	aminopeptidase N
TI83333S000903	b0933	ssuB	"alkanesulfonate transport protein (ABC superfamily, atp_bind)"
TI83333S000904	b0934	ssuC	"alkanesulfonate transport protein (ABC superfamily, membrane)"
TI83333S000905	b0935	ssuD	alkanesulfonate monooxygenase
TI83333S000906	b0936	ssuA	"alkanesulfonate transport protein (ABC superfamily, peri_bind)"
TI83333S000907	b0937	ssuE	NAD(P)H-dependent FMN reductase
TI83333S000908	b0938	ycbQ	putative fimbrial-like protein
TI83333S000909	b0939	ycbR	putative fimbrial chaperone
TI83333S000910	b0940	ycbS	putative outer membrane usher protein
TI83333S000911	b0941	ycbT	putative fimbrial-like protein
TI83333S000912	b0942	ycbU	putative fimbrial-like protein
TI83333S000913	b0943	ycbV	putative fimbrial-like protein
TI83333S000914	b0944	ycbF	putative fimbrial chaperone
TI83333S000915	b0945	pyrD	dihydroorotate dehydrogenase
TI83333S000916	b0946	ycbW	hypothetical protein
TI83333S000917	b0947	ycbX	putative Fe-S protein
TI83333S000918	b0948	ycbY	putative methyltransferase
TI83333S000919	b0949	uup	putative ATP-binding component of a transport system
TI83333S000920	b0950	pqiA	paraquat-inducible protein A
TI83333S000921	b0951	pqiB	paraquat-inducible protein B
TI83333S000922	b0952	ymbA	hypothetical protein
TI83333S000923	b0953	rmf	ribosome modulation factor
TI83333S000924	b0954	fabA	3-hydroxydecanoyl-ACP dehydratase
TI83333S000925	b0955	ycbZ	putative ATP-dependent protease
TI83333S000926	b0956	ycbG	hypothetical protein
TI83333S000927	b0957	ompA	outer membrane protein 3a (II*;G;d)
TI83333S000928	b0958	sulA	suppressor of lon; inhibitor of cell division and FtsZ ring formation upon DNA damage/inhibition
TI83333S000929	b0959	yccR	hypothetical protein
TI83333S000930	b0960	yccS	putative efflux transport protein (PET family)
TI83333S000931	b0961	yccF	hypothetical protein
TI83333S000932	b0962	helD	DNA helicase IV
TI83333S000933	b0963	mgsA	methylglyoxal synthase
TI83333S000934	b0964	yccT	hypothetical protein
TI83333S000935	b0965	yccU	protein (unknown function)
TI83333S000936	b0966	yccV	hypothetical protein
TI83333S000937	b0967	yccW	putative methyltransferase
TI83333S000938	b0968	yccX	putative phosphohydrolase
TI83333S000939	b0969	yccK	putative sulfite reductase
TI83333S000940	b0970	yccA	putative carrier/transport protein
TI83333S000941	b0972	hyaA	hydrogenase-1 small subunit
TI83333S000942	b0973	hyaB	hydrogenase-1 large subunit
TI83333S000943	b0974	hyaC	probable Ni/Fe-hydrogenase 1 b-type cytochrome subunit
TI83333S000944	b0975	hyaD	processing of HyaA and HyaB proteins
TI83333S000945	b0976	hyaE	processing of HyaA and HyaB proteins
TI83333S000946	b0977	hyaF	nickel incorporation into hydrogenase-1 proteins
TI83333S000947	b0978	appC	"cytochrome oxidase bd-II, subunit I"
TI83333S000948	b0979	appB	"cytochrome oxidase bd-II, subunit II"
TI83333S000949	b0980	appA	phosphoanhydride phosphorylase; pH 2.5 acid phosphatase; periplasmic
TI83333S000950	b0981	etk	"tyrosine-protein kinase ETK, autophosphorylates"
TI83333S000951	b0982	etp	putative phosphatase
TI83333S000952	b0983	yccZ	putative function in exopolysaccharide production
TI83333S000953	b0984	ymcA	hypothetical protein
TI83333S000954	b0985	ymcB	hypothetical protein
TI83333S000955	b0986	ymcC	putative regulator
TI83333S000956	b0987	ymcD	putative membrane glycoprotein
TI83333S000957	b0988	insB_4	IS1 protein InsB
TI83333S000958	b0989	cspH	cold shock-like protein
TI83333S000959	b0990	cspG	homolog of Salmonella cold shock protein
TI83333S000960	b0991	ymcE	suppresses fabA and ts growth mutation
TI83333S000961	b0992	yccM	putative ferredoxin-type protein
TI83333S000962	b0993	torS	"hybrid sensory histidine kinase in two-component regulatory system with TorR, regulates TMAO reductase regulatory system I, senses TMAO"
TI83333S000963	b0994	torT	"part of regulation of tor operon, periplasmic"
TI83333S000964	b0995	torR	"response regulator in two-component regulatory system with TorS, regulates TMAO reductase regulatory system I (torCAD)"
TI83333S000965	b0996	torC	"cytochrome c-type protein in TMAO respiration; with TorA, also negativer regulator of tor operon"
TI83333S000966	b0997	torA	trimethylamine N-oxide reductase subunit
TI83333S000967	b0998	torD	chaperone protein TorD
TI83333S000968	b0999	cbpM	hypothetical protein
TI83333S000969	b1000	cbpA	"curved DNA-binding protein, co-chaperone of DnaK (Hsp40 family)"
TI83333S000970	b1001	yccE	putative hemoglobin-binding protein
TI83333S000971	b1002	agp	glucose-1-phosphatase
TI83333S000972	b1003	yccJ	unknown CDS
TI83333S000973	b1004	wrbA	TrpR binding protein WrbA
TI83333S000974	b1005	ycdF	unknown CDS
TI83333S000975	b1006	ycdG	putative transport protein
TI83333S000976	b1007	ycdH	putative flavin:NADH reductase
TI83333S000977	b1008	ycdI	hypothetical protein
TI83333S000978	b1009	ycdJ	putative hydrolase
TI83333S000979	b1010	ycdK	hypothetical protein
TI83333S000980	b1011	ycdL	hypothetical isochorismatase family protein
TI83333S000981	b1012	ycdM	putative enzyme
TI83333S000982	b1013	ycdC	hypothetical transcriptional regulator
TI83333S000983	b1014	putA	multifunctional: proline dehydrogenase (in membrane); pyrroline-5-carboxylate dehydrogenase (in membrane); transcriptional repressor of proline synthesis (in cytoplasm)
TI83333S000984	b1015	putP	major sodium/proline symporter
TI83333S000985	b1018	ycdO	hypothetical protein
TI83333S000986	b1019	ycdB	hypothetical protein
TI83333S000987	b1020	phoH	"PhoB-dependent, ATP-binding pho regulon component"
TI83333S000988	b1021	pgaD	hypothetical protein
TI83333S000989	b1022	pgaC	putative transport protein (VGP family)
TI83333S000990	b1023	pgaB	putative lipoprotein
TI83333S000991	b1024	pgaA	putative outer membrane protein
TI83333S000992	b1025	ycdT	putative transmembrane protein
TI83333S000993	b1026	see b0372	putative transposase for IS3
TI83333S000994	b1027	b1027	putative transposase-related protein
TI83333S000995	b1028	ymdE	putative malonyl-CoA:Acyl carrier protein transacylase
TI83333S000996	b1029	ycdU	putative enzyme
TI83333S000997	b1033	ghrA	2-ketoacid reductase
TI83333S000998	b1034	ycdX	hypothetical protein
TI83333S000999	b1035	ycdY	putative oxidoreductase component
TI83333S001000	b1036	ycdZ	putative transport protein
TI83333S001001	b1037	csgG	"curli production assembly/transport component, 2nd curli operon"
TI83333S001002	b1038	csgF	"curli production assembly/transport component, 2nd curli operon"
TI83333S001003	b1039	csgE	"curli production assembly/transport component, 2nd curli operon"
TI83333S001004	b1040	csgD	putative 2-component transcriptional regulator for 2nd curli operon
TI83333S001005	b1041	csgB	"minor curlin subunit precursor, nucleator for assembly of adhesive surface organelles"
TI83333S001006	b1042	csgA	"curlin major subunit, coiled surface structures, cryptic"
TI83333S001007	b1043	csgC	putative curli production protein
TI83333S001008	b1044	ymdA	hypothetical protein
TI83333S001009	b1045	ymdB	hypothetical protein
TI83333S001010	b1046	ymdC	putative synthase
TI83333S001011	b1047	mdoC	glucans biosynthesis protein
TI83333S001012	b1048	mdoG	periplasmic glucans biosynthesis protein
TI83333S001013	b1049	mdoH	glucosyltransferase MdoH
TI83333S001014	b1050	yceK	unknown CDS
TI83333S001015	b1051	msyB	acidic protein suppresses mutants lacking function of protein export
TI83333S001016	b1052	b1052	unknown CDS
TI83333S001017	b1053	mdtG	fosfomycin/multidrug transport protein (MFS family)
TI83333S001018	b1054	htrB	lipid A biosynthesis lauroyl acyltransferase
TI83333S001019	b1055	yceA	hypothetical protein
TI83333S001020	b1056	yceI	hypothetical protein
TI83333S001021	b1057	yceJ	cytochrome b561 homolog 2
TI83333S001022	b1058	yceO	unknown CDS
TI83333S001023	b1059	solA	"N-methyltryptophan oxidase, FAD-binding"
TI83333S001024	b1060	yceP	hypothetical protein
TI83333S001025	b1061	dinI	"DNA damage-inducible protein I, inhibits UmuD processing"
TI83333S001026	b1062	pyrC	dihydroorotase
TI83333S001027	b1063	yceB	hypothetical protein
TI83333S001028	b1064	grxB	glutaredoxin 2
TI83333S001029	b1065	mdtH	multidrug transport protein (MFS family)
TI83333S001030	b1066	rimJ	acetylation of N-terminal alanine of 30S ribosomal subunit protein S5
TI83333S001031	b1067	yceH	hypothetical protein
TI83333S001032	b1068	mviM	putative NAD(P)-binding virulence factor
TI83333S001033	b1069	mviN	putative virulence factor
TI83333S001034	b1070	flgN	flagellar biosynthesis; believed to be export chaperone for FlgK and FlgL
TI83333S001035	b1071	flgM	anti-FliA (anti-sigma) factor; also known as RflB protein
TI83333S001036	b1072	flgA	flagellar basal body P-ring biosynthesis protein
TI83333S001037	b1073	flgB	flagellar basal body rod protein
TI83333S001038	b1074	flgC	flagellar basal body rod protein
TI83333S001039	b1075	flgD	"flagellar biosynthesis, initiation of hook assembly"
TI83333S001040	b1076	flgE	flagellar hook protein
TI83333S001041	b1077	flgF	"flagellar biosynthesis, cell-proximal portion of basal-body rod"
TI83333S001042	b1078	flgG	"flagellar biosynthesis, cell-distal portion of basal-body rod"
TI83333S001043	b1079	flgH	flagellar L-ring protein precursor
TI83333S001044	b1080	flgI	flagellar P-ring protein precursor
TI83333S001045	b1081	flgJ	flagellar biosynthesis protein
TI83333S001046	b1082	flgK	flagellar hook-associated protein
TI83333S001047	b1083	flgL	flagellar hook-associated protein
TI83333S001048	b1084	rne	"RNase E, membrane attachment, mRNA turnover, maturation 5S RNA"
TI83333S001049	b1085	b1085	unknown CDS
TI83333S001050	b1086	rluC	23S rRNA pseudouridylate synthase
TI83333S001051	b1087	yceF	Maf-like protein
TI83333S001052	b1088	g30K	hypothetical protein
TI83333S001053	b1089	rpmF	50S ribosomal protein L32
TI83333S001054	b1090	plsX	fatty acid/phospholipid synthesis protein
TI83333S001055	b1091	fabH	3-oxoacyl-(acyl carrier protein) synthase
TI83333S001056	b1092	fabD	acyl carrier protein S-malonyltransferase
TI83333S001057	b1093	fabG	3-ketoacyl-(acyl-carrier-protein) reductase
TI83333S001058	b1094	acpP	acyl carrier protein
TI83333S001059	b1095	fabF	3-oxoacyl-(acyl carrier protein) synthase
TI83333S001060	b1096	pabC	4-amino-4-deoxychorismate lyase
TI83333S001061	b1097	yceG	putative thymidylate kinase
TI83333S001062	b1098	tmk	thymidylate kinase
TI83333S001063	b1099	holB	DNA polymerase III subunit delta
TI83333S001064	b1100	ycfH	putative hydrolase
TI83333S001065	b1101	ptsG	"PTS family enzyme IIC (N-terminal); enzyme IIB (C-terminal), glucose-specific"
TI83333S001066	b1102	fhuE	"outer membrane pore protein, receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid"
TI83333S001067	b1103	ycfF	putative protein kinase C inhibitor
TI83333S001068	b1104	ycfL	hypothetical protein
TI83333S001069	b1105	ycfM	putative fibronectin-binding protein
TI83333S001070	b1106	thiK	putative beta-glucosidase
TI83333S001071	b1107	nagZ	beta-hexosaminidase
TI83333S001072	b1108	ycfP	hypothetical protein
TI83333S001073	b1109	ndh	respiratory NADH dehydrogenase
TI83333S001074	b1110	ycfJ	hypothetical protein
TI83333S001075	b1111	ycfQ	putative regulator (TetR/AcrR family)
TI83333S001076	b1112	ycfR	hypothetical protein
TI83333S001077	b1113	ycfS	putative enzyme
TI83333S001078	b1114	mfd	transcription-repair ATP-dependent coupling factor
TI83333S001079	b1115	ycfT	putative transport protein
TI83333S001080	b1116	lolC	"transport protein of outer membrane lipoproteins (ABC superfamily, membrane)"
TI83333S001081	b1117	lolD	putative ATP-binding component of a transport system
TI83333S001082	b1118	lolE	putative kinase
TI83333S001083	b1119	ycfX	putative NAGC-like transcriptional regulator
TI83333S001084	b1120	cobB	NAD-dependent deacetylase
TI83333S001085	b1121	ycfZ	hypothetical protein
TI83333S001086	b1122	ymfA	hypothetical protein
TI83333S001087	b1123	potD	spermidine/putrescine ABC transporter periplasmic substrate-binding component
TI83333S001088	b1124	potC	spermidine/putrescine ABC transporter membrane component
TI83333S001089	b1125	potB	spermidine/putrescine ABC transporter membrane component
TI83333S001090	b1126	potA	putrescine/spermidine ABC transporter ATPase
TI83333S001091	b1127	pepT	peptidase T
TI83333S001092	b1128	ycfD	putative enzyme
TI83333S001093	b1129	phoQ	sensor protein PhoQ
TI83333S001094	b1130	phoP	"response regulator in two-component regulatory system with PhoQ, regulates gene expression at low [Mg+] (OmpR family)"
TI83333S001095	b1131	purB	adenylosuccinate lyase
TI83333S001096	b1132	hflD	hypothetical protein
TI83333S001097	b1133	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TI83333S001098	b1134	ymfB	putative Nudix hydrolase
TI83333S001099	b1135	rluE	pseudouridine synthase (makes pseudouridine2457 in 23 S RNA)
TI83333S001100	b1136	icdA	isocitrate dehydrogenase
TI83333S001101	b1137	ymfD	e14 prophage; putative methyltransferase
TI83333S001102	b1138	ymfE	e14 prophage
TI83333S001103	b1139	lit	e14 prophage; like phage T4 late gene expression
TI83333S001104	b1140	intE	e14 prophage; integrase
TI83333S001105	b1141	ymfG	e14 prophage; putative exisionase
TI83333S001106	b1142	b1142	e14 prophage
TI83333S001107	b1143	ymfI	e14 prophage
TI83333S001108	b1144	b1144	e14 prophage
TI83333S001109	b1145	ymfK	e14 prophage; putative phage repressor
TI83333S001110	b1146	b1146	e14 prophage; putative regulator
TI83333S001111	b1147	ymfL	e14 prophage; putative negative regulator
TI83333S001112	b1148	ymfM	e14 prophage
TI83333S001113	b1149	ymfN	e14 prophage; putative terminase
TI83333S001114	b1150	ymfR	e14 prophage
TI83333S001115	b1151	ymfO	e14 prophage
TI83333S001116	b1152	ymfP	e14 prophage
TI83333S001117	b1153	ymfQ	e14 prophage
TI83333S001118	b1154	ycfK	e14 prophage
TI83333S001119	b1155	ymfS	e14 prophage
TI83333S001120	b1156	tfaE	e14 prophage; putative tail fiber assembly
TI83333S001121	b1157	stfE	e14 prophage; putative tail fiber protein
TI83333S001122	b1158	pinE	e14 prophage; inversion of adjacent DNA
TI83333S001123	b1159	mcrA	e14 prophage; restriction of DNA at 5-methylcytosine residues
TI83333S001124	b1160	elbA	hypothetical protein
TI83333S001125	b1161	ycgX	hypothetical protein
TI83333S001126	b1162	ycgE	putative transcriptional regulator
TI83333S001127	b1163	ycgF	hypothetical protein
TI83333S001128	b1164	ycgZ	unknown CDS
TI83333S001129	b1165	ymgA	unknown CDS
TI83333S001130	b1166	ymgB	unknown CDS
TI83333S001131	b1167	ymgC	unknown CDS
TI83333S001132	b1168	ycgG	putative protease
TI83333S001133	b1171	ymgD	unknown CDS
TI83333S001134	b1172	b1172	hypothetical protein
TI83333S001135	b1173	ycgI	unknown CDS
TI83333S001136	b1174	minE	cell division topological specificity factor MinE
TI83333S001137	b1175	minD	"cell division inhibitor, a membrane ATPase, activates minC"
TI83333S001138	b1176	minC	septum formation inhibitor
TI83333S001139	b1177	ycgJ	unknown CDS
TI83333S001140	b1178	ycgK	unknown CDS
TI83333S001141	b1179	ycgL	hypothetical protein
TI83333S001142	b1180	ycgM	putative isomerase
TI83333S001143	b1181	ycgN	hypothetical protein
TI83333S001144	b1182	hlyE	hemolysin E
TI83333S001145	b1183	umuD	SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC
TI83333S001146	b1184	umuC	DNA polymerase IV
TI83333S001147	b1185	dsbB	disulfide bond formation protein B
TI83333S001148	b1186	nhaB	"Na+/H+ antiporter, pH independent"
TI83333S001149	b1187	fadR	fatty acid metabolism regulator
TI83333S001150	b1188	ycgB	putative sporulation protein
TI83333S001151	b1189	dadA	D-amino acid dehydrogenase small subunit
TI83333S001152	b1190	dadX	alanine racemase
TI83333S001153	b1191	cvrA	cell volume regulation protein CvrA
TI83333S001154	b1192	ldcA	"L, D-carboxypeptidase A (in murein recycling)"
TI83333S001155	b1193	emtA	"lytic murein endotransglycosylase E, membrane-bound"
TI83333S001156	b1194	ycgR	putative regulator (TetR/AcrR family)
TI83333S001157	b1195	ymgE	transglycosylase asociated protein
TI83333S001158	b1196	ycgY	putative enzyme
TI83333S001159	b1197	treA	"trehalase, periplasmic"
TI83333S001160	b1198	dhaM	PTS hybrid protein
TI83333S001161	b1199	dhaL	"dihydroxyacetone kinase, C-terminal domain"
TI83333S001162	b1200	dhaK	"dihydroxyacetone kinase, N-terminal domain"
TI83333S001163	b1201	dhaR	probable transcription activator for the dha operon; Sigma54-dependent activator
TI83333S001164	b1202	ycgV	putative adhesion and penetration protein
TI83333S001165	b1203	ychF	putative GTP-binding protein
TI83333S001166	b1204	pth	peptidyl-tRNA hydrolase
TI83333S001167	b1205	ychH	hypothetical protein
TI83333S001168	b1206	ychM	putative sulfate transporter
TI83333S001169	b1207	prsA	ribose-phosphate pyrophosphokinase
TI83333S001170	b1208	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
TI83333S001171	b1209	lolB	outer membrane lipoprotein LolB precursor
TI83333S001172	b1210	hemA	glutamyl-tRNA reductase
TI83333S001173	b1211	prfA	peptide chain release factor 1
TI83333S001174	b1212	prmC	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
TI83333S001175	b1213	ychQ	putative transcriptional regulator
TI83333S001176	b1214	ychA	putative transcriptional regulator
TI83333S001177	b1215	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase
TI83333S001178	b4419		small toxic polypeptide
TI83333S001179	b4421		small toxic polypeptide
TI83333S001180	b4423		small toxic polypeptide
TI83333S001181	b1216	chaA	sodium-calcium/proton antiporter
TI83333S001182	b1217	chaB	cation transport regulator
TI83333S001183	b1218	chaC	cation transport regulator
TI83333S001184	b1219	ychN	putative phosphatase
TI83333S001185	b1220	ychO	"conserved protein, invasin-like"
TI83333S001186	b1221	narL	"pleiotrophic regulation of anaerobic respiration: response regulator for nar, frd, dms and tor genes"
TI83333S001187	b1222	narX	"nitrate/nitrate sensor, histidine protein kinase acts on NarL regulator"
TI83333S001188	b1223	narK	nitrite extrusion protein
TI83333S001189	b1224	narG	"nitrate reductase 1, alpha subunit"
TI83333S001190	b1225	narH	"nitrate reductase 1, Fe-S (beta) subunit"
TI83333S001191	b1226	narJ	"nitrate reductase 1, delta subunit, assembly function"
TI83333S001192	b1227	narI	"nitrate reductase 1, cytochrome b(NR), gamma subunit"
TI83333S001193	b1228	ychS	unknown CDS
TI83333S001194	b1229	tpr	a protamine-like protein
TI83333S001195	b1232	purU	formyltetrahydrofolate deformylase
TI83333S001196	b1233	ychJ	hypothetical protein
TI83333S001197	b1234	rssA	putative transmembrane protein
TI83333S001198	b1235	rssB	Hnr protein
TI83333S001199	b1236	galU	glucose-1-phosphate uridylyltransferase
TI83333S001200	b1237	hns	"DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator"
TI83333S001201	b1238	tdk	thymidine kinase
TI83333S001202	b1239	ychG	putative IS4 insertion sequence
TI83333S001203	b1240	b1240	unknown CDS
TI83333S001204	b1241	adhE	CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase
TI83333S001205	b1242	ychE	putative channel protein
TI83333S001206	b1243	oppA	"oligopeptide transport protein (ABC superfamily, peri_bind)"
TI83333S001207	b1244	oppB	oligopeptide permease ABC transporter membrane component
TI83333S001208	b1245	oppC	homolog of Salmonella oligopeptide transport permease protein
TI83333S001209	b1246	oppD	oligopeptide transporter ATP-binding component
TI83333S001210	b1247	oppF	homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system
TI83333S001211	b1248	yciU	hypothetical protein
TI83333S001212	b1249	cls	cardiolipin synthetase
TI83333S001213	b1250	kch	putative potassium channel protein
TI83333S001214	b1251	yciI	hypothetical protein
TI83333S001215	b1252	tonB	"energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins"
TI83333S001216	b1253	yciA	putative enzyme
TI83333S001217	b1254	yciB	putative intracellular septation protein
TI83333S001218	b1255	yciC	hypothetical protein
TI83333S001219	b1256	ompW	outer membrane protein W; colicin S4 receptor; putative transport protein
TI83333S001220	b1257	yciE	hypothetical protein
TI83333S001221	b1258	yciF	putative structural proteins
TI83333S001222	b1259	yciG	hypothetical protein
TI83333S001223	b1260	trpA	tryptophan synthase subunit alpha
TI83333S001224	b1261	trpB	tryptophan synthase subunit beta
TI83333S001225	b1262	trpC	bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
TI83333S001226	b1263	trpD	anthranilate phosphoribosyltransferase
TI83333S001227	b1264	trpE	anthranilate synthase component I
TI83333S001228	b1265	trpL	trp operon leader peptide
TI83333S001229	b1266	trpH	putative enzyme
TI83333S001230	b1267	yciO	hypothetical protein
TI83333S001231	b1268	yciQ	hypothetical protein
TI83333S001232	b1269	rluB	pseudouridine synthase (makes pseudouridine2605 in 23 S RNA)
TI83333S001233	b1270	btuR	"cob(I)yrinic acid a,c-diamide adenosyltransferase"
TI83333S001234	b1271	yciK	short chain dehydrogenase
TI83333S001235	b1272	sohB	putative peptidase
TI83333S001236	b1273	yciN	hypothetical protein
TI83333S001237	b1274	topA	DNA topoisomerase I
TI83333S001238	b1275	cysB	transcriptional regulator for cysteine regulon
TI83333S001239	b1276	acnA	aconitate hydratase
TI83333S001240	b1277	ribA	GTP cyclohydrolase II protein
TI83333S001241	b1278	pgpB	"non-essential phosphatidylglycerophosphate phosphatase, membrane bound"
TI83333S001242	b1279	yciS	hypothetical protein
TI83333S001243	b1280	yciM	putative heat shock protein
TI83333S001244	b1281	pyrF	orotidine 5'-phosphate decarboxylase
TI83333S001245	b1282	yciH	hypothetical protein
TI83333S001246	b1283	osmB	"lipoprotein, osmotically inducible"
TI83333S001247	b1284	yciT	putative DEOR-type transcriptional regulator
TI83333S001248	b1285	gmr	RNase II modulator
TI83333S001249	b1286	rnb	exoribonuclease II
TI83333S001250	b1287	yciW	putative oxidoreductase
TI83333S001251	b1288	fabI	enoyl-(acyl carrier protein) reductase
TI83333S001252	b1289	ycjD	hypothetical protein
TI83333S001253	b1290	sapF	"peptide transport protein (ABC superfamily, atp_bind)"
TI83333S001254	b1291	sapD	"peptide transport protein (ABC superfamily, atp_bind)"
TI83333S001255	b1292	sapC	homolog of Salmonella peptide transport permease protein
TI83333S001256	b1293	sapB	homolog of Salmonella peptide transport permease protein
TI83333S001257	b1294	sapA	homolog of Salmonella peptide transport periplasmic protein
TI83333S001258	b1295	ymjA	unknown CDS
TI83333S001259	b1296	puuP	putative amino acid/amine transport protein
TI83333S001260	b1297	puuA	putative glutamine synthetase
TI83333S001261	b1298	puuD	probable amidotransferase subunit
TI83333S001262	b1299	puuR	putative oxidoreductase/putative regulator
TI83333S001263	b1300	puuC	"aldehyde dehydrogenase, prefers NADP over NAD"
TI83333S001264	b1301	puuB	probable oxidoreductase
TI83333S001265	b1302	puuE	4-aminobutyrate aminotransferase
TI83333S001266	b1303	pspF	psp operon transcriptional activator
